NEWCASTLE UNITED;TOTTENHAM HOTSPUR;2;1;FALSE;Europe/London 18/08/2012 17:30
ARSENAL;SUNDERLAND;0;0;FALSE;Europe/London 18/08/2012 15:00
FULHAM;NORWICH CITY;5;0;FALSE;Europe/London 18/08/2012 15:00
QUEENS PARK RANGERS;SWANSEA CITY;0;5;FALSE;Europe/London 18/08/2012 15:00
READING;STOKE CITY;1;1;FALSE;Europe/London 18/08/2012 15:00
WEST BROMWICH ALBION;LIVERPOOL;3;0;FALSE;Europe/London 18/08/2012 15:00
WEST HAM UNITED;ASTON VILLA;1;0;FALSE;Europe/London 18/08/2012 15:00
MANCHESTER CITY;SOUTHAMPTON;3;2;FALSE;Europe/London 19/08/2012 16:00
WIGAN ATHLETIC;CHELSEA;0;2;FALSE;Europe/London 19/08/2012 13:30
EVERTON;MANCHESTER UNITED;1;0;FALSE;Europe/London 20/08/2012 20:00
